,0
1869.628990855589,1863
1869.6291346984658,1858
1869.6292776732112,1911
1869.6294197970142,2027
1869.6295610867246,2091
1869.629701558858,1995
1869.6298412296028,2052
1869.6299801148266,2186
1869.630118230084,2257
1869.6302555906204,2250
1869.6303922113798,2201
1869.6305281070104,2294
1869.6306632918706,2281
1869.6307977800338,2358
1869.6309315852955,2406
1869.6310647211774,2413
1869.6311972009337,2522
1869.6313290375563,2627
1869.6314602437797,2604
1869.6315908320862,2699
1869.6317208147116,2717
1869.6318502036484,2756
1869.6319790106522,2874
1869.632107247246,2918
1869.6322349247243,2937
1869.632362054158,3103
1869.6324886463985,3022
1869.6326147120835,3183
1869.632740261639,3206
1869.6328653052842,3264
1869.6329898530373,3284
1869.6331139147173,3411
1869.6332374999488,3532
1869.633360618166,3614
1869.633483278616,3589
1869.6336054903634,3591
1869.6337272622927,3838
1869.6338486031125,3802
1869.6339695213596,4040
1869.6340900254013,3999
1869.634210123439,4101
1869.6343298235124,4119
1869.6344491335012,4298
1869.6345680611298,4472
1869.634686613969,4394
1869.6348047994402,4607
1869.6349226248176,4784
1869.6350400972315,4862
1869.6351572236708,5202
1869.6352740109864,5050
1869.6353904658931,5325
1869.6355065949733,5331
1869.635622404678,5432
1869.6357379013318,5531
1869.6358530911332,5645
1869.635967980158,5861
1869.6360825743627,6060
1869.636196879584,6166
1869.636310901545,6279
1869.6364246458538,6437
1869.636538118009,6781
1869.6366513233988,6636
1869.6367642673058,7079
1869.6368769549078,7200
1869.6369893912797,7264
1869.637101581396,7520
1869.6372135301333,7749
1869.637325242271,7992
1869.6374367224935,8212
1869.6375479753938,8299
1869.6376590054729,8534
1869.6377698171423,8877
1869.6378804147275,9039
1869.6379908024674,9297
1869.638100984517,9628
1869.6382109649494,9753
1869.638320747757,10003
1869.6384303368527,10507
1869.6385397360723,10695
1869.6386489491756,11052
1869.638757979848,11579
1869.6388668317013,11668
1869.6389755082773,11803
1869.6390840130462,12279
1869.6391923494098,12520
1869.6393005207028,13057
1869.639408530194,13458
1869.6395163810876,13873
1869.6396240765232,13999
1869.6397316195794,14554
1869.6398390132736,14748
1869.6399462605632,15342
1869.6400533643473,15721
1869.6401603274676,16050
1869.6402671527092,16839
1869.6403738428023,17081
1869.6404804004233,17499
1869.640586828195,18192
1869.6406931286883,18488
1869.640799304424,19235
1869.640905357872,19698
1869.641011291454,20055
1869.6411171075438,20625
1869.6412228084675,20826
1869.6413283965057,21612
1869.6414338738937,22135
1869.641539242822,22735
1869.6416445054388,23028
1869.6417496638492,23596
1869.641854720116,24307
1869.6419596762626,24991
1869.642064534271,25637
1869.6421692960846,25833
1869.6422739636082,26788
1869.642378538709,27103
1869.6424830232165,27955
1869.6425874189251,28406
1869.642691727593,28833
1869.6427959509438,29812
1869.642900090667,30223
1869.6430041484177,30730
1869.6431081258202,31783
1869.643212024465,31998
1869.6433158459113,32895
1869.6434195916881,33820
1869.6435232632937,34180
1869.6436268621967,34759
1869.643730389837,35031
1869.643833847625,36027
1869.6439372369446,36650
1869.644040559151,37596
1869.644143815574,37870
1869.644247007515,38753
1869.644350136252,38805
1869.6444532030353,39859
1869.6445562090926,40549
1869.644659155626,41249
1869.6447620438141,41903
1869.6448648748124,42217
1869.6449676497532,42841
1869.6450703697467,43439
1869.6451730358808,44319
1869.6452756492217,44717
1869.6453782108154,45227
1869.645480721686,45707
1869.645583182838,46632
1869.645685595256,46855
1869.645787959905,47530
1869.6458902777308,48630
1869.6459925496606,48803
1869.6460947766036,49157
1869.6461969594498,49649
1869.646299099073,49980
1869.6464011963287,50925
1869.646503252056,51036
1869.6466052670773,51626
1869.6467072421985,52246
1869.6468091782099,52374
1869.6469110758853,53183
1869.6470129359845,53564
1869.6471147592515,54449
1869.6472165464152,54455
1869.6473182981906,54835
1869.6474200152788,55152
1869.6475216983663,55562
1869.6476233481262,56275
1869.647724965219,55978
1869.647826550291,56916
1869.647928103977,56678
1869.6480296268976,57102
1869.6481311196624,57828
1869.6482325828683,57918
1869.6483340171012,58359
1869.6484354229342,58340
1869.6485368009298,58598
1869.6486381516393,58687
1869.648739475603,58719
1869.6488407733505,58708
1869.6489420454009,58952
1869.6490432922628,58922
1869.6491445144356,59490
1869.6492457124075,59187
1869.649346886658,60079
1869.6494480376568,59859
1869.6495491658643,60107
1869.6496502717318,60113
1869.649751355702,59805
1869.649852418208,59679
1869.6499534596746,59512
1869.650054480519,59541
1869.6501554811493,59879
1869.650256461966,59880
1869.6503574233611,60024
1869.6504583657193,59295
1869.6505592894175,59590
1869.6506601948254,58760
1869.650761082305,59177
1869.6508619522115,58993
1869.6509628048923,59166
1869.6510636406892,58514
1869.651164459936,58196
1869.6512652629608,58045
1869.6513660500846,57877
1869.6514668216223,57572
1869.6515675778826,57420
1869.651668319168,57316
1869.651769045775,56746
1869.651869757994,56227
1869.6519704561101,56076
1869.6520711404028,56139
1869.6521718111453,55147
1869.6522724686065,55033
1869.6523731130487,54971
1869.6524737447307,54148
1869.6525743639043,54185
1869.6526749708173,53295
1869.6527755657128,52977
1869.6528761488285,52668
1869.6529767203976,52126
1869.653077280649,51982
1869.6531778298067,50960
1869.6532783680902,50364
1869.6533788957154,50129
1869.6534794128925,49881
1869.653579919829,49052
1869.6536804167276,48453
1869.6537809037868,47988
1869.6538813812012,47296
1869.6539818491628,47019
1869.6540823078578,46539
1869.6541827574702,45996
1869.6542831981797,45497
1869.6543836301626,44690
1869.6544840535912,44191
1869.6545844686357,43382
1869.654684875462,42969
1869.6547852742322,42353
1869.6548856651063,41766
1869.6549860482405,41061
1869.6550864237884,40115
1869.6551867919,39611
1869.6552871527224,39586
1869.6553875064,38766
1869.6554878530742,38047
1869.655588192884,37130
1869.6556885259647,36762
1869.6557888524503,35756
1869.6558891724712,35493
1869.6559894861548,35181
1869.6560897936274,34458
1869.6561900950119,33618
1869.6562903904282,33035
1869.6563906799947,32337
1869.6564909638278,31866
1869.6565912420403,30907
1869.6566915147441,30254
1869.6567917820478,30016
